Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22n","C_0603_1608Metric",5.044646,-2.178543,180.000000,top
"C2","22n","C_0603_1608Metric",4.674606,-2.178346,180.000000,top
"C3","22n","C_0603_1608Metric",4.678543,-2.413189,180.000000,top
"C4","22n","C_0603_1608Metric",5.158819,-3.154331,180.000000,top
"C5","22n","C_0603_1608Metric",4.769055,-3.109843,180.000000,top
"C6","22n","C_0603_1608Metric",4.674567,-2.873819,180.000000,top
"C7","22n","C_0603_1608Metric",4.814173,-2.639764,0.000000,top
"C8","22n","C_0603_1608Metric",4.817402,-2.178346,180.000000,top
"C9","22n","C_0603_1608Metric",4.817402,-2.413189,180.000000,top
"C10","22n","C_0603_1608Metric",4.569970,-2.638050,180.000000,top
"C11","22n","C_0603_1608Metric",4.911890,-3.109843,180.000000,top
"C14","22n","C_0603_1608Metric",4.817488,-2.878019,180.000000,top
"C15","20p","C_0603_1608Metric",5.430197,-2.867008,90.000000,top
"C16","20p","C_0603_1608Metric",5.320197,-2.967008,180.000000,top
"C17","220n","C_0603_1608Metric",5.148425,-2.860630,0.000000,top
"C18","220n","C_0603_1608Metric",5.174803,-2.447638,180.000000,top
"C19","4.7u","CP_EIA-3216-18_Kemet-A",5.116929,-2.946850,0.000000,top
"C20","4.7u","CP_EIA-3216-18_Kemet-A",5.151969,-2.360630,180.000000,top
"C21","1u","C_0603_1608Metric",5.359843,-2.447244,90.000000,top
"C22","4.7u","CP_EIA-3216-18_Kemet-A",4.944882,-2.779528,270.000000,top
"C23","220n","C_0603_1608Metric",5.027559,-2.748031,270.000000,top
"J1","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-1.550000,90.000000,top
"J2","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-2.000000,90.000000,top
"J3","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-2.450000,90.000000,top
"J4","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-3.850000,90.000000,top
"J5","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-3.400000,90.000000,top
"J6","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",3.961457,-2.950000,90.000000,top
"L1","Ferrite","L_0603_1608Metric",5.207480,-3.038976,0.000000,top
"R1","4.7R","R_0603_1608Metric",4.937008,-2.212106,270.000000,top
"R2","4.7R","R_0603_1608Metric",4.566929,-2.212598,270.000000,top
"R3","4.7R","R_0603_1608Metric",4.574803,-2.448819,270.000000,top
"R4","4.7R","R_0603_1608Metric",5.051181,-3.188976,270.000000,top
"R5","4.7R","R_0603_1608Metric",4.661417,-3.145669,270.000000,top
"R6","4.7R","R_0603_1608Metric",4.566929,-2.909449,270.000000,top
"R7","1k","R_0603_1608Metric",5.044646,-2.248425,180.000000,top
"R8","1k","R_0603_1608Metric",4.673228,-2.248031,180.000000,top
"R9","1k","R_0603_1608Metric",4.677165,-2.484252,180.000000,top
"R10","1k","R_0603_1608Metric",5.157480,-3.224409,180.000000,top
"R11","1k","R_0603_1608Metric",4.769055,-3.181102,180.000000,top
"R12","1k","R_0603_1608Metric",4.674567,-2.944882,180.000000,top
"R13","100k","R_0603_1608Metric",4.714567,-2.673622,270.000000,top
"R14","1k","R_0603_1608Metric",4.814173,-2.710630,0.000000,top
"R15","1k","R_0603_1608Metric",4.817402,-2.248228,0.000000,top
"R16","1k","R_0603_1608Metric",4.817402,-2.483071,0.000000,top
"R17","1k","R_0603_1608Metric",4.569970,-2.707932,0.000000,top
"R18","1k","R_0603_1608Metric",4.911890,-3.179724,0.000000,top
"R21","1k","R_0603_1608Metric",4.817488,-2.943964,180.000000,top
"R22","10k","R_0603_1608Metric",5.286378,-2.447244,90.000000,top
"U1","ADE7816ACPZ","QFN-40-1EP_6x6mm_Pitch0.5mm",5.217520,-2.656496,270.000000,top
"Y1","16.384MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",5.320197,-2.867008,180.000000,top
